Prefecture,City,amount_2008,amount_2009,amount_2010,amount_2011,amount_2012,amount_2013,amount_2014,amount_2015,amount_2016,amount_2017,amount_2018,amount_2019,number_2008,number_2009,number_2010,number_2011,number_2012,number_2013,number_2014,number_2015,number_2016,number_2017,number_2018,number_2019
佐賀県,唐津市,38148,23850,4955,32292,2646,4207,4336,101362,1940827,4388880,3443169,3490720,22,29,20,15,15,32,53,2497,149883,384019,305223,222679
佐賀県,鳥栖市,1585,330,570,2600,271,1010,800,1301,4126,132045,428971,455240,16,5,7,8,7,6,12,16,91,9125,40781,32527
佐賀県,多久市,5978,3858,313,11580,688,4249,1720,94963,135923,53686,127535,907110,183,31,15,16,11,11,22,6605,8250,3669,8912,54430
佐賀県,伊万里市,3241,1633,2260,739,787,2100,83111,1026576,1395020,1162229,979649,1711150,35,16,48,28,29,25,4194,56228,81674,60497,52832,77735
佐賀県,武雄市,118,430,1155,190,261,115,1157,213236,236627,659420,1974391,419477,10,6,7,4,5,5,27,13744,14782,32863,95076,15092
佐賀県,鹿島市,600,837,740,735,470,1600,2987,6440,103331,264953,528296,629321,7,9,6,5,6,8,107,174,6097,12973,27129,31136
佐賀県,小城市,2042,3110,2726,1370,3390,880,511962,1484498,1577227,1829750,1861841,1368135,20,16,12,9,6,12,20456,46222,44781,50444,55456,51846
佐賀県,嬉野市,585,330,380,2630,1685,1955,10470,1000875,1796171,2669650,1802935,3049901,6,4,17,17,15,21,184,73297,130248,202032,144804,213341
佐賀県,神埼市,2502,102975,2895,3340,6960,2630,5190,7430,25913,47127,249926,1147413,13,9,11,11,11,16,14,20,731,2231,14950,72419
佐賀県,吉野ヶ里町,770,1000,1370,695,310,415,645,32271,58586,135513,1918531,171102,12,11,13,21,12,16,15,865,1291,2630,15975,3729
佐賀県,基山町,930,1820,800,957,1492,1102,937,62152,571709,1092220,1030458,1127057,4,4,2,5,6,3,5,2606,13319,45106,48560,68352
佐賀県,上峰町,270,600,145,325,305,205,400,2129960,4573292,6672270,5317765,4672145,7,8,6,4,2,2,3,95763,272265,510453,303083,278000
佐賀県,みやき町,2091,1511,2897,2413,2100,1989,6417,966121,1476279,7223542,16833835,82575,55,31,37,30,18,25,48,22585,45393,122058,227850,2812
佐賀県,玄海町,0,300,1086,2621,4168,248594,1066630,1192197,829578,673378,665315,1196065,0,36,164,351,743,9901,49778,47098,32428,24954,22699,49799
佐賀県,有田町,2090,1625,1648,250,515,1550,4435,328890,719646,821944,981170,962345,15,10,12,5,12,26,35,4117,19875,19803,33271,19671
佐賀県,大町町,795,70,715,60,2110,120,249,36870,145045,942873,1315727,1192084,37,4,6,2,3,3,7,974,2212,18381,23998,22313
佐賀県,江北町,10,332,10,1310,1080,230,740,1500,476780,771683,524934,357104,1,2,2,4,4,3,6,11,34736,66454,51176,22670
佐賀県,白石町,1485,1480,1625,1790,1613,2754,7511,135079,261623,390904,344619,557260,12,11,11,14,12,14,36,10826,22463,39450,34984,47292
佐賀県,太良町,850,50,556,550,705,330,641,223927,741851,827855,903908,1106011,5,1,3,2,4,3,6,20955,66918,76158,79557,85704
長崎県,長崎県,6155,4919,5503,4687,6773,6771,13125,16609,32469,45738,73781,150512,123,99,98,75,84,87,720,884,1631,2688,5192,5881
長崎県,長崎市,2789,2167,3412,2651,3062,5011,10733,81537,460449,808287,949702,690655,49,47,41,63,37,54,200,2117,11134,24449,49209,31207
長崎県,佐世保市,1307,1635,3504,380,887,925,1345,2647597,2615444,1898778,1859205,2431104,55,15,13,8,16,26,30,115534,101649,66131,80348,110997
長崎県,島原市,528,19107,580,1649,3441,2555,78176,338708,459966,324315,335231,516281,9,20,17,18,34,32,1797,20128,30931,20955,20224,22492
長崎県,諫早市,810,1251,593,1985,109500,2680,3762,328419,354036,274270,183793,208115,6,8,7,5,7,7,19,23619,25703,20443,12915,15379
長崎県,大村市,380,1191,4240,1200,1827,1922,1300,737694,477285,394190,261670,194493,4,10,11,7,29,34,49,11901,7422,6224,3355,3637
長崎県,平戸市,1454,2400,1248,845,1077,39108,1462597,2599785,1652835,1073804,618489,678040,37,28,30,24,36,1467,36067,46736,26909,17084,11407,12312
長崎県,松浦市,1505,1264,2867,1346,1635,2210,37431,412039,734417,956971,1236269,958413,32,28,23,30,34,31,1959,26800,50043,81806,111484,74956
長崎県,対馬市,735,1085,2546,1770,2372,13096,9539,10720,47918,179575,169920,223602,12,26,31,14,18,157,94,100,2288,8343,8121,10454
長崎県,壱岐市,11745,2669,4365,2275,1818,2770,31735,106566,141880,260730,286577,379964,20,46,88,126,108,86,2097,6001,6390,11510,13120,13257
長崎県,五島市,5073,7945,57787,9240,7137,13560,42089,126688,180240,136560,208440,200031,27,22,42,32,30,55,888,5465,6349,4463,5793,7738
長崎県,西海市,630,1680,9450,10702,19425,16330,28573,59358,102694,75855,66992,251602,15,12,19,28,48,50,82,2771,2788,3287,2596,4481
長崎県,雲仙市,2621,1713,1816,14436,1108,2364,1676,171456,83244,182383,193207,271403,56,38,39,108,32,26,35,4245,2128,7979,6616,9244
長崎県,南島原市,6491,22487,4137,19312,6673,6900,4840,195160,208123,186421,378814,922605,74,38,29,161,52,45,65,9339,14325,17175,25479,56451
長崎県,長与町,237,120,950,320,170,140,240,300,24366,95036,198750,56543,5,2,4,4,3,3,8,11,1694,8266,18911,4340
長崎県,時津町,225,30,0,0,0,20,9288,245763,532272,833109,436416,253570,3,1,0,0,0,1,556,18369,33067,46652,26583,21748
長崎県,東彼杵町,100,220,410,580,520,866,8781,42404,56994,35620,109094,292130,4,4,5,9,5,51,1017,1901,3169,1798,4729,9391
長崎県,川棚町,1766,632,3345,554,499,784,2340,2742,11792,10983,18004,37549,30,25,18,21,21,20,44,77,773,755,1279,1923
長崎県,波佐見町,370,721,544,2440,821,967,2193,13678,45826,515731,898497,1400171,8,18,15,21,23,32,53,918,2062,12721,26850,49815
長崎県,小値賀町,600,2190,242,340,4250,772,926,1232,1297,1001,1153,13965,21,19,7,8,15,25,37,39,43,32,37,307
長崎県,佐々町,0,185,350,1000,330,0,93,54560,16172,10204,134885,23003,0,2,2,1,3,0,3,1676,642,473,3023,663
長崎県,新上五島町,2540,4750,6216,5491,6282,14604,18688,52082,77323,49344,63221,53910,26,26,45,40,119,704,862,1765,2241,1499,1072,1564
熊本県,熊本県,19212,46412,35469,37494,46393,50459,88352,105180,796289,494269,236549,454332,354,604,609,564,871,1728,5695,5408,23897,4937,5013,1851
熊本県,熊本市,2425,3615,1872,1455,1822,3282,1830,42788,3686310,1206410,676165,389129,59,71,61,50,54,76,83,107,69473,39239,121697,12038
熊本県,八代市,2680,1970,1270,3220,6912,3302,5229,43075,246686,171911,296709,361427,24,29,24,22,39,44,57,1395,10593,7091,13204,12380
熊本県,人吉市,1843,910,2588,1122,2085,4142,1677,14865,34219,166706,254536,317521,31,21,24,18,18,37,22,961,1577,6050,9827,14284
熊本県,荒尾市,2741,422,388,660,5680,906,1575,1892,4615,19957,120689,205514,19,13,14,13,17,24,38,61,203,710,10729,25781
熊本県,水俣市,370,1423,370,345,1632,1650,1687,1085,25191,40390,61908,58534,8,17,12,10,20,17,29,28,1099,2383,5030,4128
熊本県,玉名市,1804,2768,1603,1401,1706,2238,2920,2843,25505,29334,72348,440506,33,26,16,13,18,18,61,60,2190,2649,5401,35295
熊本県,山鹿市,5869,2043,3790,2285,1583,1973,2735,3470,10354,16118,26410,306612,82,52,61,49,43,45,72,54,344,845,1356,23133
熊本県,菊池市,1155,1132,1070,925,1004,1667,15712,80400,331569,174833,88337,126850,23,34,23,19,25,65,914,3864,33246,11424,5993,7466
熊本県,宇土市,155,913,1304,1145,1041,2009,2515,4779,257487,183698,196909,201437,6,14,22,16,20,62,54,158,14326,9559,7910,8303
熊本県,上天草市,2360,2140,3793,5889,2942,5020,8827,46208,342655,414071,525338,693043,20,23,24,23,26,26,31,2012,13468,15443,18765,24098
熊本県,宇城市,697,752,752,452,1545,1333,3300,9394,130713,308620,310350,519765,19,16,15,16,25,45,262,462,8180,15353,21519,38360
熊本県,阿蘇市,395,557,235,315,1370,910,2468,2172,4211,45083,150427,146021,19,23,11,14,32,38,52,37,121,1723,5230,6470
熊本県,天草市,7836,6924,6871,10967,9256,14546,17208,88243,191329,204484,199665,592825,226,115,117,109,107,149,209,3332,7980,7403,11025,44901
熊本県,合志市,565,230,415,170,260,1349,2271,2891,23106,33823,34169,77780,19,6,9,5,9,14,63,57,952,1156,1192,2911
熊本県,美里町,288,140,105,85,220,185,155,1514,8379,11356,8881,9991,6,6,5,4,7,10,8,37,195,280,233,293
熊本県,玉東町,0,0,320,0,50,380,795,515,1010,337463,607693,917139,0,0,2,0,1,14,37,22,29,26619,48329,75708
熊本県,南関町,670,930,924,1250,3437,1645,3092,5321,93204,104931,86480,166123,24,22,24,18,36,41,213,280,3215,4448,4430,10831
熊本県,長洲町,295,373,363,523,690,1830,3060,8170,8497,34515,243520,461897,4,5,4,7,12,27,35,217,225,2279,20724,40033
熊本県,和水町,1336,215,3745,3405,3985,3955,3415,4090,3665,9880,7440,55536,9,5,11,12,12,12,12,30,35,251,349,4180
熊本県,大津町,320,730,661,470,125,570,1470,1250,17205,19344,37833,18445,3,6,10,5,3,13,107,47,492,1614,3456,1560
熊本県,菊陽町,30,68,137,124,99,672,1109,1404,13070,7203,12911,9674,2,4,4,3,5,12,12,14,243,222,759,496
熊本県,南小国町,70,200,1225,1330,1500,1410,1040,137258,104534,100412,176564,747687,3,9,17,19,10,12,69,3440,2380,2390,5339,37822
熊本県,小国町,555,2415,2435,2465,2651,2480,6299,57065,53122,166123,32480,70483,8,11,9,7,11,17,498,1789,1594,543,703,1559
熊本県,産山村,0,175,485,105,112,188,2842,5224,10774,4615,3010,5338,0,4,7,4,4,7,103,153,246,99,80,147
熊本県,高森町,140,195,605,150,260,500,560,197046,91208,76656,62390,150575,3,7,5,5,4,6,11,10020,4105,3480,2465,5929
熊本県,西原村,190,65,40,107,190,300,6450,805,63977,164363,138105,502081,9,3,2,6,5,15,23,23,1132,8285,9730,36949
熊本県,南阿蘇村,1895,1500,1475,1712,367,1052,1577,34269,539401,134946,160703,176386,18,10,11,10,10,12,35,2828,28991,7856,7480,8456
熊本県,御船町,205,5367,5250,5380,5645,6065,592,1535,53103,111954,248984,668664,7,15,10,11,11,15,16,18,2325,8578,21037,26747
熊本県,嘉島町,400,310,510,410,65,85,25,1318,56908,28212,36383,195781,3,3,5,4,4,3,3,36,2763,1615,2306,9845
熊本県,益城町,433,1400,555,1150,1050,1065,1050,1545,320793,87939,75424,350647,4,5,3,4,3,6,5,14,12077,3920,3881,22525
熊本県,甲佐町,1536,1806,590,850,1690,475,690,941,8065,16535,16393,10828,20,27,19,20,19,15,19,21,105,1263,967,546
熊本県,山都町,1648,1995,1155,630,525,710,1200,126663,190210,154153,105382,50252,40,27,20,13,14,18,22,5768,8269,7929,5454,1893
熊本県,氷川町,430,1342,715,1155,745,1000,682,986,2923,2701,9636,65862,19,11,10,11,12,11,20,30,49,36,598,4976
熊本県,芦北町,820,570,2280,1560,1945,1795,3035,2060,80723,85671,101435,135640,7,4,8,7,10,10,17,12,5169,5370,6410,9464
熊本県,津奈木町,302,395,165,61,150,450,1230,1330,2360,2380,1475,2080,6,11,4,3,4,3,4,7,8,8,8,176
熊本県,錦町,575,590,613,398,359,193,34790,71309,54407,39593,85275,171619,30,27,29,14,18,17,1787,4686,3054,2269,5081,10387
熊本県,多良木町,90,385,130,20,135,42,5005,13880,12870,32277,28724,31695,5,5,5,2,4,3,328,884,775,2147,1852,2014
熊本県,湯前町,150,330,720,460,520,615,1245,9610,88606,89510,31310,23300,2,6,8,4,3,3,7,409,5694,5878,1780,1291
熊本県,水上村,10,725,485,565,560,1044,1405,1325,1523,2133,1579,29919,1,5,4,4,4,6,13,12,13,47,58,2089
熊本県,相良村,0,1285,1210,1180,1720,1850,1710,1230,5750,5912,42252,52898,0,6,8,6,5,8,9,5,28,276,3682,2079
熊本県,五木村,15,2251,95,63,45,10,1643,400,835,1620,16605,18921,1,5,4,3,2,1,6,4,43,69,1667,1815
熊本県,山江村,1305,205,180,270,385,2082,1520,867,11800,10560,16210,13350,19,7,4,8,58,193,120,62,935,823,836,1093
熊本県,球磨村,240,701,729,800,491,535,553,2146,2040,1870,42480,30150,7,11,20,10,13,17,19,30,23,72,812,1677
熊本県,あさぎり町,1915,2915,1950,1992,4235,3450,2000,36297,32354,27950,54542,155618,14,11,14,10,11,16,13,1545,1626,1306,2404,12060
熊本県,苓北町,1170,1827,1710,1495,995,1240,1962,1985,3025,2028,2051,4336,19,16,20,11,11,26,37,69,150,77,59,225
大分県,大分県,2285,1505,1935,1698,22646,2391,2809,5660,6764,4671,6146,6441,51,30,29,19,30,28,38,29,206,97,112,105
大分県,大分市,1860,973,1290,2421,2090,1292,7770,51215,161307,124802,149683,201448,11,7,5,10,8,9,329,2767,11513,7854,10226,14985
大分県,別府市,325,1307,935,1760,1730,2782,2463,36858,104265,107656,129396,244625,4,9,10,8,9,25,42,916,2921,2817,3920,5610
大分県,中津市,2510,2742,2717,2880,6081,34876,71647,70010,87092,90934,70508,68856,9,26,16,15,22,2367,5812,5821,5510,5551,4297,3988
